Unique Word,Stemmed Word,Stemmed POS Tag,Stemmed Description,Lemmatized Word,Lemmatized POS Tag,Lemmatized Description
provides,provid,NN,"['Noun, singular or mass']",provides,VBZ,"['Verb, 3rd person singular present']"
potent,potent,NN,"['Noun, singular or mass']",potent,JJ,['Adjective']
coherent,coher,NN,"['Noun, singular or mass']",coherent,NN,"['Noun, singular or mass']"
words,word,NN,"['Noun, singular or mass']",word,NN,"['Noun, singular or mass']"
contain,contain,NN,"['Noun, singular or mass']",contain,NN,"['Noun, singular or mass']"
ultimately,ultim,JJ,['Adjective'],ultimately,RB,['Adverb']
word,word,NN,"['Noun, singular or mass']",word,NN,"['Noun, singular or mass']"
main,main,JJ,['Adjective'],main,JJ,['Adjective']
approach,approach,NN,"['Noun, singular or mass']",approach,NN,"['Noun, singular or mass']"
much,much,JJ,['Adjective'],much,JJ,['Adjective']
supporting,support,NN,"['Noun, singular or mass']",supporting,VBG,"['Verb, gerund or present participle']"
often,often,RB,['Adverb'],often,RB,['Adverb']
sense,sens,VBZ,"['Verb, 3rd person singular present']",sense,JJ,['Adjective']
precise,precis,JJ,['Adjective'],precise,JJ,['Adjective']
complete,complet,NN,"['Noun, singular or mass']",complete,JJ,['Adjective']
narrow,narrow,JJ,['Adjective'],narrow,NN,"['Noun, singular or mass']"
strengthening,strengthen,NN,"['Noun, singular or mass']",strengthening,VBG,"['Verb, gerund or present participle']"
followed,follow,VBP,"['Verb, non-3rd person singular present']",followed,VBD,"['Verb, past tense']"
writer,writer,NN,"['Noun, singular or mass']",writer,JJ,['Adjective']
requires,requir,NN,"['Noun, singular or mass']",requires,VBZ,"['Verb, 3rd person singular present']"
structured,structur,NN,"['Noun, singular or mass']",structured,VBN,"['Verb, past participle']"
rather,rather,RB,['Adverb'],rather,RB,['Adverb']
unnecessary,unnecessari,JJ,['Adjective'],unnecessary,JJ,['Adjective']
still,still,RB,['Adverb'],still,RB,['Adverb']
focus,focu,VBP,"['Verb, non-3rd person singular present']",focus,VBP,"['Verb, non-3rd person singular present']"
academic,academ,JJ,['Adjective'],academic,JJ,['Adjective']
valuable,valuabl,NN,"['Noun, singular or mass']",valuable,JJ,['Adjective']
works,work,NN,"['Noun, singular or mass']",work,NN,"['Noun, singular or mass']"
cover,cover,RB,['Adverb'],cover,NN,"['Noun, singular or mass']"
convey,convey,JJ,['Adjective'],convey,VB,"['Verb, base form']"
trying,tri,JJ,['Adjective'],trying,VBG,"['Verb, gerund or present participle']"
point,point,NN,"['Noun, singular or mass']",point,NN,"['Noun, singular or mass']"
discipline,disciplin,NN,"['Noun, singular or mass']",discipline,NN,"['Noun, singular or mass']"
serve,serv,VBD,"['Verb, past tense']",serve,VBP,"['Verb, non-3rd person singular present']"
prioritizing,priorit,JJ,['Adjective'],prioritizing,VBG,"['Verb, gerund or present participle']"
avoiding,avoid,NN,"['Noun, singular or mass']",avoiding,VBG,"['Verb, gerund or present participle']"
settings,set,VBN,"['Verb, past participle']",setting,VBG,"['Verb, gerund or present participle']"
clear,clear,JJ,['Adjective'],clear,JJ,['Adjective']
honed,hone,NN,"['Noun, singular or mass']",honed,VBN,"['Verb, past participle']"
brevity,breviti,NN,"['Noun, singular or mass']",brevity,NN,"['Noun, singular or mass']"
purpose,purpos,NN,"['Noun, singular or mass']",purpose,NN,"['Noun, singular or mass']"
